leagueId,tier,number
036b2700-4f2b-4038-8e29-b4f963f472d9,BRONZE,63
037832e8-c8df-49af-9125-749123e85e7a,SILVER,113
0378b6ce-b13d-4cf2-a3b7-88f5baea719e,SILVER,181
0379898c-151a-4bc5-ba73-f5a0964c1fcb,IRON,19
038039ff-27be-4b4b-a1dd-a94467c45c2a,BRONZE,151
03825bd7-9cf5-4d9d-996a-1d0ae36de65e,BRONZE,137
03828b06-eecb-4e7f-80c9-d240a8938fa4,GOLD,116
038d8ce1-0d12-479a-b5f5-08fc3516ff6a,SILVER,87
038e34ac-b4ac-4b36-8c93-129afeec8c40,SILVER,178
039997e8-9241-4965-beeb-28372e740819,IRON,41
0399f200-2bc1-41cc-a88e-fb1c43298987,BRONZE,75
039a2c96-23d5-4439-b22b-2343d43be19f,SILVER,174
03aacce0-600b-43dd-ad0f-b94879a408c8,IRON,91
03ae4dd7-f46d-49d2-b0ce-70c1bd0e61ea,SILVER,172
03b0060b-8a26-48b3-a2d4-7b849817a4bc,SILVER,165
03b32007-8832-4e9a-9304-d33f61158e9b,GOLD,183
03b3ad83-70c6-4174-9bdb-695b8badc6e7,BRONZE,142
03b78087-162f-493d-8781-c5efe18de1d1,SILVER,177
03b8476e-f5ed-4296-8384-8ccbfc90d204,BRONZE,143
03bac260-9d16-45e3-9a23-7511384adb8b,SILVER,175
03c24192-5df4-437b-9bb0-f520b8398da2,IRON,83
03c3b029-5be3-4ad8-9308-297513b82d9c,BRONZE,94
03ceb48d-8f1c-4a54-bd49-2936e39bc305,IRON,15
03dd2fe2-39d5-458a-a7d4-5146addb5bcc,BRONZE,128
03e0ead7-7719-4e1d-ab92-8c23f3fed23c,IRON,66
03e12aad-2920-4b3b-be25-a6631a04ce4a,BRONZE,134
03e562ee-392e-4551-b53b-b14834cd5d11,BRONZE,79
03e7ea22-80eb-47a6-94d6-419efef300f9,BRONZE,120
03f046f5-a135-4943-8bdd-7c54e6180eed,BRONZE,78
03ff325f-0b4b-4aa6-9919-aebd0928ad03,SILVER,168
040dbfbe-5dce-4b9d-bad8-8acb2d0eaaa4,BRONZE,76
0414fafd-4b57-4d24-92ea-f8cced1f882a,BRONZE,64
041500f2-6cd0-437e-aba8-2a6b74192ea2,IRON,35
041910e1-a45f-415d-8425-6645e79a63cc,BRONZE,137
041f0724-9a09-4259-a2e8-2ee42ce00a4f,IRON,15
042263b2-ae31-4166-a91b-0e7f07b75cae,IRON,83
04235c64-fbe8-46bc-a397-749e140692cf,SILVER,181
0425b544-16fe-4a43-ba2c-fe38e28f3cb3,BRONZE,122
04415fdf-522c-4cdf-bfd6-a879aaf2c910,BRONZE,148
04435673-b5dc-402e-b814-3229886c919f,BRONZE,63
044735be-9e42-4b6d-8e53-7ea3c01bff8b,BRONZE,110
04520b46-5bfc-4062-a828-ca09322cadb0,IRON,50
0452dfe0-64ed-4182-a1ee-e0a63ee71462,DIAMOND,152
04553a42-000d-4e4c-a3b7-ee7b8a738133,SILVER,106
0476bad1-bffa-464b-b3c6-31022b1ce7e5,SILVER,98
0476f32d-16ca-473f-82ae-5200f225284a,BRONZE,132
04862724-d235-4dee-8475-9fc70c169f97,GOLD,192
048b3cd4-4885-4e65-af5a-9b10a63c315d,GOLD,196
0491b79f-9df4-4215-afe8-db47bc1e81bb,SILVER,111
04940344-fd12-4aa8-a615-1cdee44269f8,SILVER,176
04986b79-216d-4fe3-9d43-19a76277f02a,SILVER,98
049bb4d7-b4e6-4137-9ad2-49e202499a2b,SILVER,187
04a638ce-d47b-4c4d-8124-dbcd6f5a3a4f,SILVER,186
04a881a9-431b-4983-8efe-0400f06e6231,PLATINUM,199
04b44038-3d1b-463f-8e4f-b60a39a624e1,IRON,102
04b8a634-5a09-4b6d-8a7a-fdafabc90732,GOLD,104
04c0419d-ef6c-4d1f-90c4-d86e8b934941,BRONZE,131
04c327e0-fc79-475c-bdc6-52adfd1aeb1c,SILVER,176
04cacef4-036b-4783-8f07-f39d9a09b649,BRONZE,143
04cd6212-d722-4123-8fae-69ebee464b55,GOLD,181
04ce9e9b-d8ba-45a6-88b5-e65ac6a90ef8,BRONZE,129
04d17499-3307-4fa9-b359-e53a1f31001e,BRONZE,143
04d9e63c-b77a-445f-8bc2-b22e008bfdf6,BRONZE,79
